"","series","year","cong_session","start_date","end_date","middle_date","president","pres_lastname","pres_party","tot_series","tot_series_rep","per_rep_approval","per_rep_approval_w","avg_rep_approval","avg_rep_approval_w","tot_series_dem","per_dem_approval","per_dem_approval_w","avg_dem_approval","avg_dem_approval_w","tot_series_ind","per_ind_approval","per_ind_approval_w","avg_ind_approval","avg_ind_approval_w","avg_inparty_approval","avg_inparty_approval_w","avg_outparty_approval","avg_outparty_approval_w","per_inparty_approval","per_inparty_approval_w","per_outparty_approval_w","avg_approval_diff","avg_approval_diff_w","per_approval_diff","per_approval_diff_w","crisno_during","during_crisis","num_crisis","crisname_during","crisis_closest_pre","crisis_closest_post_start","crisis_closest_post_end","session_startyr","session_endyr","rep_pres","majority_senate","majority_house","divided_leg","divided_gov","pres_support_house","pres_support_senate","nominate_president","nominate_house_median","nominate_senate_median","bicameral_distance","pres_house_distance","pres_senate_distance","nominate_house_dem","nominate_house_rep","polarization_house","nominate_senate_dem","nominate_senate_rep","polarization_senate","polarization_house_lag","polarization_senate_lag","polarization_avg","polarization_avg_lag","election_no","pres_election_date","election_year","perchange_dispinc","unemployment_rate","mid_closest_pre","during_mid","eisenhower","kennedy","johnson","nixon","ford","carter","reagan","bush1","clinton","bush2","obama"
"1","1953-0511",1953,83,-2525,-2521,1953-02-03,"Dwight D. Eisenhower","Eisenhower","R",1572,499,0.843687374749499,0.839292071147529,0.827655310621243,0.823530717698749,754,0.595490716180371,0.601081894231412,0.477453580901857,0.48503788428218,319,0.639498432601881,0.641027585092383,0.601880877742947,0.600963361024109,0.827655310621243,0.823530717698749,0.477453580901857,0.48503788428218,0.843687374749499,0.839292071147529,0.601081894231412,0.350201729719386,0.338492833416569,0.242605480518087,0.238210176916117,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,4.8,2.9,0,1,1,0,0,0,0,0,0,0,0,0,0
"2","1953-0512",1953,83,-2504,-2499,1953-02-24,"Dwight D. Eisenhower","Eisenhower","R",1547,473,0.837209302325581,0.838239769854959,0.818181818181818,0.819236853157995,714,0.567226890756303,0.566494512457808,0.450980392156863,0.450398106201022,360,0.65,0.649160748720169,0.569444444444444,0.56870920293861,0.818181818181818,0.819236853157995,0.450980392156863,0.450398106201022,0.837209302325581,0.838239769854959,0.566494512457808,0.367201426024955,0.368838746956973,0.270714789867774,0.271745257397151,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,4.8,2.9,0,1,1,0,0,0,0,0,0,0,0,0,0
"3","1953-0513",1953,83,-2470,-2465,1953-03-30,"Dwight D. Eisenhower","Eisenhower","R",1601,512,0.8671875,0.866646167356521,0.83984375,0.839319486403838,728,0.638736263736264,0.63971030826752,0.520604395604396,0.52165218270742,361,0.731301939058172,0.730845431541802,0.653739612188366,0.653331522135853,0.83984375,0.839319486403838,0.520604395604396,0.52165218270742,0.8671875,0.866646167356521,0.63971030826752,0.319239354395604,0.317667303696418,0.22747719173248,0.226935859089001,NA,0,0,NA,1,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,4.8,2.6,0,1,1,0,0,0,0,0,0,0,0,0,0
"4","1953-0514",1953,83,-2448,-2443,1953-04-21,"Dwight D. Eisenhower","Eisenhower","R",1519,473,0.871035940803383,0.870462872261225,0.839323467230444,0.838771262834238,723,0.632088520055325,0.631672658860931,0.48686030428769,0.486539991070126,323,0.696594427244582,0.699230064917644,0.609907120743034,0.612599791388024,0.839323467230444,0.838771262834238,0.48686030428769,0.486539991070126,0.871035940803383,0.870462872261225,0.631672658860931,0.352463162942754,0.352231271764112,0.239363281942452,0.238790213400294,140,1,1,"KOREAN WAR III",0,1,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,5.3,2.6,0,1,1,0,0,0,0,0,0,0,0,0,0
"5","1953-0515",1953,83,-2428,-2423,1953-05-11,"Dwight D. Eisenhower","Eisenhower","R",1556,484,0.882231404958678,0.881664800619291,0.851239669421488,0.850692969215803,734,0.633514986376022,0.634469640514831,0.46866485013624,0.469725377634371,338,0.730769230769231,0.730299901503783,0.650887573964497,0.650469547898106,0.851239669421488,0.850692969215803,0.46866485013624,0.469725377634371,0.882231404958678,0.881664800619291,0.634469640514831,0.382574819285248,0.380967591581432,0.247761764443847,0.24719516010446,140,1,1,"KOREAN WAR III",0,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,5.3,2.7,0,1,1,0,0,0,0,0,0,0,0,0,0
"6","1953-0517",1953,83,-2372,-2367,1953-07-06,"Dwight D. Eisenhower","Eisenhower","R",1545,510,0.868627450980392,0.868627450980392,0.823529411764706,0.823529411764706,695,0.558273381294964,0.558273381294964,0.312230215827338,0.312230215827338,340,0.670588235294118,0.670588235294118,0.538235294117647,0.538235294117647,0.823529411764706,0.823529411764706,0.312230215827338,0.312230215827338,0.868627450980392,0.868627450980392,0.558273381294964,0.511299195937368,0.511299195937368,0.310354069685428,0.310354069685428,NA,0,0,NA,0,0,1,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,-1.9,2.5,0,1,1,0,0,0,0,0,0,0,0,0,0
"7","1953-0518",1953,83,-2351,-2346,1953-07-27,"Dwight D. Eisenhower","Eisenhower","R",1532,500,0.906,0.906,0.872,0.872,699,0.620886981402003,0.620886981402003,0.429184549356223,0.429184549356223,333,0.666666666666667,0.666666666666667,0.552552552552553,0.552552552552553,0.872,0.872,0.429184549356223,0.429184549356223,0.906,0.906,0.620886981402003,0.442815450643777,0.442815450643777,0.285113018597997,0.285113018597997,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,-1.9,2.5,0,1,1,0,0,0,0,0,0,0,0,0,0
"8","1953-0519",1953,83,-2330,-2325,1953-08-17,"Dwight D. Eisenhower","Eisenhower","R",1613,575,0.900869565217391,0.900869565217391,0.864347826086956,0.864347826086956,697,0.596843615494978,0.596843615494978,0.352941176470588,0.352941176470588,341,0.730205278592375,0.730205278592375,0.607038123167155,0.607038123167155,0.864347826086956,0.864347826086956,0.352941176470588,0.352941176470588,0.900869565217391,0.900869565217391,0.596843615494978,0.511406649616368,0.511406649616368,0.304025949722413,0.304025949722413,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,-1.9,2.6,0,0,1,0,0,0,0,0,0,0,0,0,0
"9","1953-0520",1953,83,-2302,-2297,1953-09-14,"Dwight D. Eisenhower","Eisenhower","R",1534,472,0.834745762711864,0.833658870751575,0.766949152542373,0.765950536071244,727,0.47455295735901,0.475308784100508,0.176066024759285,0.177210500430536,335,0.57910447761194,0.581331634699409,0.385074626865672,0.387554423132939,0.766949152542373,0.765950536071244,0.176066024759285,0.177210500430536,0.834745762711864,0.833658870751575,0.475308784100508,0.590883127783088,0.588740035640708,0.359436978611357,0.358350086651067,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,-1.9,2.7,0,0,1,0,0,0,0,0,0,0,0,0,0
"10","1953-0521",1953,83,-2275,-2270,1953-10-11,"Dwight D. Eisenhower","Eisenhower","R",1488,479,0.889352818371608,0.889352818371608,0.8580375782881,0.8580375782881,700,0.485714285714286,0.485714285714286,0.167142857142857,0.167142857142857,309,0.621359223300971,0.621359223300971,0.456310679611651,0.456310679611651,0.8580375782881,0.8580375782881,0.167142857142857,0.167142857142857,0.889352818371608,0.889352818371608,0.485714285714286,0.690894721145243,0.690894721145243,0.403638532657322,0.403638532657322,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,-1.3,2.9,0,0,1,0,0,0,0,0,0,0,0,0,0
"11","1953-0522",1953,83,-2252,-2248,1953-11-03,"Dwight D. Eisenhower","Eisenhower","R",1498,469,0.835820895522388,0.835820895522388,0.769722814498934,0.769722814498934,675,0.438518518518519,0.438518518518519,0.0177777777777778,0.0177777777777778,354,0.646892655367232,0.646892655367232,0.463276836158192,0.463276836158192,0.769722814498934,0.769722814498934,0.0177777777777778,0.0177777777777778,0.835820895522388,0.835820895522388,0.438518518518519,0.751945036721156,0.751945036721156,0.39730237700387,0.39730237700387,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,-1.3,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0
